DAGOL	-25.74944	-54.88833	SID IGU
DAGRA	-27.63472	-56.45806	W14-TMA POS
DAKAX	-44.79694	-70.75694	T658-UT658-UZ116-Z116
DAKSA	-41.03083	-66.79333	UT106-UT657
DALAB	-32.33333	-58.67083	A428-Z110-UL793-UM534-UZ103
DALDU	-48.87361	-71.74778	T659 UT659 UT110
DALMI	-37.74111	-57.73306	IAC MDP-STAR MDP
DALUX	-31.07806	-63.93083	STAR CBA-IAC CBA
DAMAP	-29.81111	-67.11111	W3-Z119
DAMBA	-39.44861	-68.81889	W26
DAMIN	-38.78917	-63.33056	W32-UW32-SID BCA-STAR BCA-TMA BCA
DAMIS	-28.86056	-58.94917	A428-W14-UW14-UL793-Z110-STAR CRR SIS
DANRU	-29.42778	-60.40528	UN775-UW14
DAPSU	-36.76194	-64.31861	IAC OSA
DARKA	-35.29944	-56.25056	A310-UM792
DEVEB	-31.16667	-63.85417	IAC CBA
DEVIS	-51.05528	-70.49722	W52-UW52-SID ECA GAL-STAR ECA GAL-TMA GAL
DEXAL	-39.39917	-67.87028	UT106
DIDOM	-25.29833	-53.18500	STAR IGU
DIGER	-34.93000	-68.83972	W23-TMA SRA
DIGET	-27.01833	-58.76611	SID SIS CRR STAR SIS CRR-A428-TMA SIS-UZ124
DIGIS	-51.86194	-62.46778	W54-UW54
DIKEX	-31.20278	-63.91306	STAR CBA - IAC CBA
DIKIS	-35.14778	-69.12750	W23-TMA MLG
DIKOR	-28.26083	-64.16000	W70-UL550-SID SDE-TMA SDE
DIKOV	-33.35417	-64.25111	IAC TRC
DILAL	-26.13389	-65.75528	UL550-TMA TUC-STAR TUC
DILIL	-42.82528	-65.63139	SID DRY
DILIX	-31.83389	-68.41556	IAC JUA-STAR JUA
DILOG	-39.33750	-68.26667	UZ109-Z109
DOBNA	-39.92278	-70.77944	STAR CHP-IAC CHP
DODBO	-31.24500	-68.29667	IAC JUA-STAR JUA
DOGLA	-41.19222	-70.80222	IAC BAR-STAR BAR
DOKBA	-26.57111	-54.81556	B687-UP779-UL324-STAR IGU-UM657-UT667
DOKMU	-33.01306	-60.80972	IAC ROS
DOLMU	-25.48056	-54.63528	STAR IGU
DONBO	-48.03722	-66.22139	UT700
DONED	-39.64417	-60.62806	UW33-UZ117
DONKA	-30.40917	-64.39333	UN525-W5-UW5-SID CBA-STAR CBA-TMA CBA
DOPLU	-24.92139	-60.78889	SID SIS CRR STAR SIS CRR-UM789-UM784
DOPRI	-31.19722	-62.07556	W69-UL550-UM418
DORSI	-43.25694	-70.65000	W50
DORVO	-34.71611	-57.51722	UM424-UN857-A305-SID AER EZE-TMA BAIRES
DOSLO	-33.29333	-67.84778	W71-SID DOZ-STAR DOZ-TMA DOZ
DOSMO	-31.08028	-64.09556	STAR CBA-IAC CBA
DOTKO	-31.19250	-64.66111	STAR CBA
DOTRI	-38.54000	-61.00778	W32-UW32-SID BCA-STAR BCA-TMA BCA
DRAKE	-59.30778	-63.59472	T100-UT100
EDLUM	-25.64639	-65.99389	UL322-TMA SAL
EDMEL	-33.05417	-60.81889	IAC ROS
EDMOB	-31.54472	-64.51306	STAR CBA-IAC CBA
EDNAP	-34.86917	-63.54194	M424-UM424-W62-UW62
EDNUL	-31.43500	-64.04889	STAR CBA-IAC CBA
EDPAN	-54.66361	-67.64972	STAR USU
EDPIL	-38.81750	-61.93500	IAC BCA-STAR BCA
EDPUN	-29.32667	-61.70028	UL404
EDRAL	-33.52861	-66.75167	W23-STAR UIS-TMA UIS
EDRAR	-31.16722	-69.38917	B560
EDRIS	-33.42194	-66.59611	UW23-UL405
EDSIL	-48.10972	-71.77889	G550
EDSUB	-28.72556	-61.73361	UL417
EDVIK	-28.06694	-63.85556	W8-UT680
EGAKU	-32.54139	-65.40167	W23
EGANI	-36.51611	-60.22556	UW15-UW22-W22-UZ113
EGBOR	-50.54167	-71.38139	STAR ECA
EGEGU	-44.99556	-68.06278	W39-UW39-SID CRV-STAR CRV-TMA CRV
EGETU	-32.74611	-64.70917	W19
EGIKA	-29.55389	-68.61472	UL322-UT671
EGIMA	-38.32639	-59.73556	W32
EGLAS	-48.00000	-53.00000	AORRA
EGOBO	-39.38889	-68.46417	W30-TMA NEU-SID NEU
EGOKO	-38.85028	-64.58500	T661-W32-UW32-UT700
EGOPA	-32.78000	-64.03194	IAC TRC
EGOSA	-52.00000	-70.99500	G550-UL670
EGOVI	-35.88222	-61.32028	T655-UT655
EGULO	-27.47583	-55.96917	IAC SARP
EGUNO	-40.60306	-70.41556	W26-UW26-Z109-UZ109
EKATO	-43.15944	-66.50306	W40-STAR TRE-SID DRY TRE-TMA TRE
EKEMO	-36.28111	-57.39944	W59
EKERO	-35.01750	-69.36556	W44-STAR MLG-TMA MLG
EKIKI	-45.71889	-67.73694	SID CRV
