CQN			COSQUÍN / SANTA MARÍA	Cosquín	CÓRDOBA	AD	PRIVADO	NC	OK	700	-31.2858	-64.4556
CQZ			CAÑADA QUIRÓZ	Corrientes	CORRIENTES	AD	PRIVADO	NC	OK	55	-27.5497	-58.7175
CRD			CONCORDIA / AEROCLUB	Concordia	ENTRE RÍOS	AD	PUBLICO	NC	OK	90	-31.3039	-58.015
CRR	SARC	CNQ	CORRIENTES	Corrientes	CORRIENTES	AD	PUBLICO	C	OK	61	-27.4456	-58.7619
CRV	SAVC	CRD	COMODORO RIVADAVIA / GRAL. E. MOSCONI	Comodoro Rivadavia	CHUBUT	AD	PUBLICO	C	OK	57	-45.7853	-67.4656
CSA			CALCHÍN / AEROCAMPO SERVICIOS AÉREOS	Calchín	CÓRDOBA	AD	PRIVADO	NC		202	-31.6574	-63.2761
CSJ			MORTEROS / CAMPO SAN JOSÉ	Morteros	CÓRDOBA	AD	PRIVADO	NC	OK	101	-30.777	-62.0147
CSN			CORONEL SUÁREZ / NUEVA ERA		BUENOS AIRES	AD		NC		248	-37.5091	-61.97
CSP			CAPITÁN SARMIENTO / SAN PATRICIO	Capitán Sarmiento	BUENOS AIRES	AD	PRIVADO	NC	OK	45	-34.0403	-59.6944
CSR			CARLOS CASARES	Carlos Casares	BUENOS AIRES	AD	PUBLICO	NC	OK	80	-35.6298	-61.394
CSU			CHAJARÍ / SUR	Chajarí	ENTRE RÍOS	AD	PRIVADO	NC		69	-30.8022	-58.0143
CTA			COPETONAS	Copetonas	BUENOS AIRES	AD	PRIVADO	NC	OK	51	-38.7435	-60.5534
CTL			CAMPO DE TIRO LA CRUZ		CÓRDOBA	AD	PRIVADO	NC			-32.2527	-64.4778
CTP			CATRILÓ / ESTABLECIMIENTO LA MARÍA PILAR	Catrilo	LA PAMPA	AD	PRIVADO	NC	OK	125	-36.4886	-63.4331
CTS			CAPITÁN SARMIENTO	Capitán Sarmiento	BUENOS AIRES	AD	PUBLICO	NC	OK	49	-34.1643	-59.7315
CUA			RÍO CUARTO / AEROCLUB	Río Cuarto	CÓRDOBA	AD	PUBLICO	NC	OK	424	-33.1606	-64.3372
CUM	SACC	LCM	LA CUMBRE	La Cumbre	CÓRDOBA	AD	PUBLICO	NC	OK	1138	-31.0059	-64.5321
CUT	SAZW	CUT	CUTRAL CÓ	Cutral Có	NEUQUÉN	AD	PUBLICO	NC	OK	650	-38.9397	-69.265
CVV			VILLA VALERIA	Villa Valeria	CÓRDOBA	AD	PRIVADO	NC	OK	290	-34.3564	-64.9011
CZU			CURUZÚ CUATIÁ / AEROCLUB	Curuzú Cuatiá	CORRIENTES	AD	PUBLICO	NC	OK	80	-29.7789	-58.0969
DAR			DARREGUEIRA	Darregueira	BUENOS AIRES	AD	PRIVADO	NC	OK	198	-37.7122	-63.1625
DFR			DAIREAUX / FUMIGACIONES	Daireaux	BUENOS AIRES	AD	PUBLICO	NC	OK	113	-36.5908	-61.775
DIA	SAAC	COC	CONCORDIA / COMODORO JUAN JOSÉ PIERRESTEGUI	Concordia	ENTRE RÍOS	AD	PUBLICO	C	OK	34	-31.2969	-57.9967
DIL	SAZT	TDL	TANDIL / HÉROES DE MALVINAS	Tandil	BUENOS AIRES	AD	PUBLICO	C	OK	175	-37.2344	-59.2286
DIO			TANDIL / COMANDANTE EDUARDO A. OLIVERO	Tandil	BUENOS AIRES	AD	PUBLICO	NC	OK	193	-37.3468	-58.9827
DLC			DESPEÑADEROS / LOS CARANCHOS (DLC) - DRNO – PRIVADO NO CONTROLADO	Tandil	BUENOS AIRES	AD	PUBLICO	NC	OK	193	-37.3468	-58.9827
DOL	SAZD		DOLORES	Dolores	BUENOS AIRES	AD	PUBLICO	NC	OK	10	-36.32	-57.7206
DOP			MENDOZA / LA PUNTILLA	Ap. El Plumerillo	MENDOZA	AD	PUBLICO	NC	OK	942	-32.9625	-68.8739
DOR			CORONEL DORREGO	Coronel Dorrego	BUENOS AIRES	AD	PUBLICO	NC	OK	120	-38.7411	-61.2558
DOZ	SAME	MDZ	MENDOZA / EL PLUMERILLO	Mendoza	MENDOZA	AD	PUBLICO	C	OK	704	-32.8317	-68.7928
DRA			SAAVEDRA	Saavedra	BUENOS AIRES	AD	PUBLICO	NC	OK	317	-37.7496	-62.3339
DRX			DAIREAUX	Daireaux	BUENOS AIRES	AD	PRIVADO	NC	OK	116	-36.5828	-61.7842
DRY	SAVY	PMY	PUERTO MADRYN / EL TEHUELCHE	Puerto Madryn	CHUBUT	AD	PUBLICO	C	OK	130	-42.7592	-65.1028
DTE			DIAMANTE	Diamante	ENTRE RÍOS	AD	PUBLICO	NC	OK	75	-32.0162	-60.5833
EAU			USHUAIA / EST. AERONAVAL	Ushuaia	TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR	AD	PRIVADO	NC	OK	6	-54.8228	-68.3042
EBF			ESPERANZA / ANIBAL BRIZI	Esperanza	SANTA FÉ	AD	PRIVADO	NC	OK	39	-31.4056	-60.8994
ECA	SAWC	FTE	EL CALAFATE	El Calafate	SANTA CRUZ	AD	PUBLICO	C	OK	204	-50.28	-72.0531
ECX			EDUARDO CASTEX	Eduardo Castex	LA PAMPA	AD	PUBLICO	NC	OK	183	-35.8822	-64.275
EDO	SACD		CORONEL OLMEDO	Coronel Olmedo	CÓRDOBA	AD	PUBLICO	NC	OK	432	-31.4868	-64.1408
EDP			ESTANCIA DON PABLO (EDP) - DRNE - PRIVADO NO CONTROLADO - ILE		CORRIENTES	AD		NC			-29.5478	-59.03
EGO			LAS PAREJAS / EL GAUCHO	Las Parejas	SANTA FÉ	AD	PRIVADO	NC	OK	105	-32.6294	-61.5444
EKA			VILLA MERCEDES / EL KANY – (EKA) - DRNO – PRIVADO NO CONTROLADO		SAN LUIS	AD		NC			-33.6704	-65.5334
ELC			25 DE MAYO / ESTANCIA LA CRIOLLA	25 de Mayo	BUENOS AIRES	AD	PRIVADO	NC	OK	48	-35.5367	-60.1292
ELD	SATD	ELO	AEROCLUB ALTO PARANÁ EL DORADO	Eldorado	MISIONES	AD	PUBLICO	NC	OK	209	-26.3969	-54.5747
ELL			MAR DEL SUR / ESTANCIA LUCILA	Mar del Sur	BUENOS AIRES	AD	PRIVADO	NC	OK	22	-38.3086	-58.105
ELP			CLUB DE PLANEADORES SANTA ROSA / AERÓDROMO EL PAMPERO	Santa Rosa	LA PAMPA	AD	PUBLICO	NC	OK	178	-36.5971	-64.1867
EMA	SAVD	EMX	EL MAITÉN	El Maitén	CHUBUT	AD	PUBLICO	NC	OK	718	-42.03	-71.1708
EML			CORONEL BRANDSEN / EL MANANTIAL	Coronel Brandsen	BUENOS AIRES	AD	PRIVADO	NC	CERRADO	15	-35.1944	-58.3599
ENO	SADJ		MARIANO MORENO	José C. Paz	BUENOS AIRES	AD	PUBLICO	C	OK	32	-34.56	-58.7897
ENV			RIACHUELO / NUEVA VALENCIA	Corrientes	CORRIENTES	AD	PRIVADO	NC	OK	57	-27.5874	-58.819
EPZ			ESPERANZA	Esperanza	SANTA FÉ	AD	PUBLICO	NC	OK	38	-31.4733	-60.8453
ERE	SANW	CRR	CERES	Ceres	SANTA FÉ	AD	PUBLICO	NC	OK	87	-29.8716	-61.927
ERT			VILLA MERCEDES / ESTANCIA DON ROBERTO	Villa Mercedes	SAN LUIS	AD	PRIVADO	NC	OK	436	-34.0011	-65.3666
ESC	SACE		CÓRDOBA / ESCUELA DE AVIACIÓN MILITAR		CÓRDOBA	AD		NC			-31.4606	-64.2833
ESN			ESQUINA	Esquina	CORRIENTES	AD	PUBLICO	NC	OK	39	-30.0476	-59.5352
ESQ	SAVE	EQS	ESQUEL / BRIGADIER GENERAL ANTONIO PARODI	Esquel	CHUBUT	AD	PUBLICO	C	OK	799	-42.9038	-71.1355
ESR			EL ESPINILLO / ESTANCIA SAN RAFAEL	El Espinillo	FORMOSA	AD	PRIVADO	NC		88	-25.0434	-58.5913
ETB			EL TRÉBOL	El Trebol	SANTA FÉ	AD	PUBLICO	NC	OK	92	-32.2162	-61.7163
EVC			GOBERNADOR VALENTÍN VIRASORO / Ea. VILLA CORINA	Gobernador Valentín Virasoro	CORRIENTES	AD	PRIVADO	NC	OK	123	-28.041	-56.0711
EZA			LOS CONQUISTADORES / BUENA ESPERANZA	Los Conquistadores	ENTRE RÍOS	AD	PRIVADO	NC	OK	75	-30.5204	-58.3996
EZE	SAEZ	EZE	EZEIZA / MINISTRO PISTARINI	Capital Federal	BUENOS AIRES	AD	PUBLICO	C	OK	20	-34.8222	-58.5358
FAE			FIRMAT / AEROCLUB	Firmat	SANTA FÉ	AD	PRIVADO	NC	OK	105	-33.4291	-61.5112
FAG			FEDERAL / LA ANGELITA	Federal	ENTRE RÍOS	AD	PRIVADO	NC	CERRADO	70	-30.8522	-58.7067
FDD			FORTÍN DRAGONES / EL DESAFÍO	Dragones	SALTA	AD	PRIVADO	NC	OK	244	-23.2425	-63.3231
FDO	SADF	FDO	SAN FERNANDO	San Fernando	BUENOS AIRES	AD	PUBLICO	C	OK	3	-34.4545	-58.5909
FIM			FIRMAT	Firmat	SANTA FÉ	AD	PRIVADO	NC	CERRADO	105	-33.4681	-61.5011
FLO	SAEL		LAS FLORES	Las Flores	BUENOS AIRES	AD	PUBLICO	NC	OK	34	-36.0664	-59.1006
FMA	SACA		CÓRDOBA / CAPITÁN D. OMAR DARÍO GELARDI - FADEA	Córdoba	CÓRDOBA	AD	PUBLICO	NC	OK	486	-31.4419	-64.2585
FOR			FORMOSA / AEROCLUB	Formosa	FORMOSA	AD	PUBLICO	NC	OK	70	-26.3014	-58.2983
FRA			SAN FRANCISCO	San Francisco	CÓRDOBA	AD	PUBLICO	NC	OK	114	-31.4131	-62.1331
FRO			ROSARIO DE LA FRONTERA	Rosario de la Frontera	SALTA	AD	PRIVADO	NC	OK	837	-25.8262	-64.9632
FRS			FRÍAS	Frías	SANTIAGO DEL ESTERO	AD	PUBLICO	NC	OK	330	-28.6286	-65.1133
FSA	SARF	FMA	FORMOSA	Formosa	FORMOSA	AD	PUBLICO	C	OK	59	-26.2128	-58.2281
FUN			DEAN FUNES	Dean Funes	CÓRDOBA	AD	PUBLICO	NC	OK	689	-30.3793	-64.3797
FVA			FLORENCIO VARELA / EL PÁJARO	Florencio Varela	BUENOS AIRES	AD	PUBLICO	NC	CERRADO	16	-34.8267	-58.3167
GAA			GUALEGUAY / AGRO AÉREO GUALEGUAY	Gualeguay	ENTRE RÍOS	AD	PRIVADO	NC	OK	16	-33.0383	-59.4399
GAI			GANCEDO / AGROAIRE	Gancedo	CHACO	AD	PRIVADO	NC	OK	115	-27.4949	-61.6588
GAL	SAWG	RGL	RÍO GALLEGOS / PILOTO CIVIL N. FERNÁNDEZ	Río Gallegos	SANTA CRUZ	AD	PUBLICO	C	OK	19	-51.6088	-69.3122
GAR			GENERAL ALVEAR	General Alvear	BUENOS AIRES	AD	PRIVADO	NC	CERRADO	50	-35.9789	-59.907
