AYGD	Gimi Airstrip	Amusa	PG	S		5096	-6.6482	145.4003
AYGE	Geigorobi Airstrip	Geigorobi	PG	S		74	-4.1055	143.3056
AYGF	Guari Airport	Guari	PG	S	GUG	6450	-8.1286	146.8722
AYGG	Garasa Airport	Au	PG	S	GRL	2539	-7.9807	147.2135
AYGH	Guhu Airstrip	Guhu	PG	S		3	-5.6957	146.1116
AYGI	Garaina Airport	Garaina	PG	S	GAR	2497	-7.8756	147.1413
AYGJ	Guasopa Airport	Woodlark (Muyua) Island	PG	S	GAZ	10	-9.2259	152.9444
AYGL	Gonaili Airport	Gonaili	PG	S	GOE	40	-5.5277	151.5733
AYGM	Gema Airstrip	Gema	PG	S		5370	-6.8031	145.7759
AYGN	Gurney Airport	Gurney	PG	M	GUR	88	-10.3115	150.334
AYGO	Gokto Airstrip	Gokto	PG	S		259	-4.9136	144.49
AYGP	Gusap Airport	Gusap	PG	S	GAP	1504	-6.0532	145.959
AYGQ	Gawa Airstrip	Gawa	PG	S		6500	-5.259	142.233
AYGR	Girua Airport	Popondetta	PG	M	PNP	311	-8.8045	148.309
AYGS	Gasuke Airport	Gasuke	PG	S	GBC	157	-6.1028	141.7393
AYGT	Gasmata Island Airport	Gasmata Island	PG	S	GMI	23	-6.2711	150.331
AYGU	Anguganak Airport	Anguganak	PG	S	AKG	937	-3.5605	142.2173
AYGV	Green River Airport	Green River	PG	S	GVI	281	-3.9022	141.1705
AYGW	Guwasa Airport	Guwasa	PG	S		4800	-6.4658	145.084
AYGX	Gora Airstrip	Gora	PG	S	GOC	2497	-9.0021	148.2364
AYGY	Guavi Airstrip	Guavi	PG	S		303	-6.87	142.7537
AYHA	Haia Airport		PG	S		2434	-6.7074	144.9974
AYHB	Habi Airport	Habi	PG	S	HBD	993	-6.32	142.4893
AYHE	Heiweni Airport	Heiweni	PG	S	HNI	3480	-7.4223	146.4276
AYHF	Hayfields Airport	Bainyik	PG	S	HYF	466	-3.6984	143.0579
AYHH	Honinabi Airport	Honinabi	PG	S	HNN	452	-6.2457	142.1771
AYHJ	Hewa Airstrip	Hewa	PG	S		5000	-5.1914	142.9595
AYHK	Hoskins Airport	Kimbe	PG	M	HKN	66	-5.4638	150.4073
AYHL	Hesalibi Airstrip	Hesalibi	PG	S		305	-6.6	142.3502
AYHN	Habina Airstrip	Habina	PG	S		6200	-6.6671	146
AYHO	Haivaro Airport	Haivaro	PG	S	HIT	180	-6.9406	143.059
AYHQ	Hauna Airstrip	Hauna	PG	S		73	-4.2994	142.2305
AYHT	Hotmin Airstrip	Hotmin Mission	PG	S		196	-4.5845	141.5742
AYHU	Hawabango Airport	Hawabango	PG	S	HWA	4563	-7.393	146.0035
AYHW	Haewenai Airstrip	Haewenai	PG	S		220	-5.7219	141.3205
AYHX	Herowena Airstrip	Herowana	PG	S		4695	-6.6229	145.1972
AYHY	Huya Airstrip	Huya	PG	S		2611	-6.2734	142.7061
AYIA	Nissan Island Airport	Nissan Island	PG	S	IIS	52	-4.4997	154.226
AYIB	Ibil Airstrip	Ibil	PG	S		870	-4.6828	141.0316
AYID	Indagen Airport	Indagen	PG	S	IDN	5788	-6.2266	147.244
AYII	Imane Airport	Imane	PG	S	IMN	3860	-6.7524	146.1072
AYIM	Kungim Airport	Kungim	PG	S	KGM	349	-5.671	141.03
